"Ad name","Ad delivery",Results,"Result indicator","Cost per results","Amount spent (USD)","CPM (cost per 1,000 impressions) (USD)",Frequency,Reach,Impressions,"Clicks (all)","Cost per outbound click (USD)","Outbound CTR (click-through rate)","Outbound clicks","CPC (cost per link click) (USD)","CTR (link click-through rate)","Link clicks","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)","Reporting starts","Reporting ends","Ad set budget","Ad set budget type","Campaign ID","Ad ID","Ad set name","Ad set ID","Campaign name","Results (initial)","Results (initial) indicator"
"soulmate-static-birth-9x16 (1) – 4",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239989810150284,120239989810190284,Soulmate-abo-static-date_of_birth-1,120239989810140284,"Soulmate-сbo-static-date_of_birth(1)-5 – Copy",,
"soulmate-static-birth-9x16 (8)",not_delivering,,,,17.54,37.965368,1,462,462,16,1.169333,3.246753,15,1.169333,3.246753,15,3.463203,1.09625,15,1.169333,2026-04-30,2026-04-30,"Using campaign budget",0,120240841338740284,120240841338770284,Soulmate-v2-abo-static-date_of_birth-1,120240841338780284,Soulmate-v2-сbo-static-date_of_birth-3,,
"Starseed_ES_static_9x16 (10)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120241041219770284,120241041806620284,Starseed_ES_cbo_static_9x16_ww-1,120241041219780284,Starseed_ES_cbo_static_9x16_ww,,
"soulmate-static-birth-9x16 (1)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240841338740284,120240841338760284,Soulmate-v2-abo-static-date_of_birth-1,120240841338780284,Soulmate-v2-сbo-static-date_of_birth-3,,
"soulmate-static-birth-9x16 (1) – 3",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239452835860284,120239452835890284,Soulmate-abo-static-date_of_birth-1,120239452835910284,Soulmate-сbo-static-date_of_birth(1)-4,,
"soulmate-static-birth-9x16 (1) – 2",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239286855920284,120239287016590284,Soulmate-abo-static-date_of_birth-1,120239286855940284,Soulmate-сbo-static-date_of_birth(1)-3,,
"soulmate-static-birth-9x16 (1) – 3",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239968509520284,120239968509660284,Soulmate-abo-static-date_of_birth-1,120239968509490284,Soulmate-сbo-static-date_of_birth(1)-6,,
"soulmate-static-birth-9x16 (4)",inactive,,,,2.36,71.515152,1.03125,32,33,2,2.36,3.030303,1,2.36,3.030303,1,6.060606,1.18,1,2.36,2026-04-30,2026-04-30,"Using campaign budget",0,120240841338740284,120240841338750284,Soulmate-v2-abo-static-date_of_birth-1,120240841338780284,Soulmate-v2-сbo-static-date_of_birth-3,,
"Starseed_ES_static_9x16 (1)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120241041219770284,120241041806600284,Starseed_ES_cbo_static_9x16_ww-1,120241041219780284,Starseed_ES_cbo_static_9x16_ww,,
"soulmate-static-birth-9x16 mix - 1",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240359756640284,120240359756610284,Soulmate-abo-static-date_of_birth-11,120240359756600284,Soulmate-сbo-static-date_of_birth-11,,
